tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
21,tech_driven,-601365198,24,0,0,0,4,5,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.10878820703748837,0.1087910048224503,1,0.053392823963465834,0.40524789347526763,0.2895507707254781,1.6209915739010712,1.158203082901912,45.38829257433067,0,3,8.216007745371682,5.216007745371682,0.25619489995645484,0.04611508199216187,0,45.644487474287125,6.3310286835258305,-2.74327659494287
22,tech_driven,-601365198,24,0,0,0,4,5,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.10879044527067028,0.1087910048224503,1,0.053392823963465834,0.4052516685117011,0.28955203654000217,1.6210066740468048,1.1582081461600089,45.388292574330656,0,3,8.21595297089572,5.215952970895721,0.25589059731223435,0.04606030751620218,0,45.644183171642894,6.129073245762568,-2.744003701667637
23,tech_driven,-601365198,24,0,0,0,4,5,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.1087908929123027,0.1087910048224503,1,0.053392823963465834,0.40525242351898777,0.28955228970290703,1.6210096940759515,1.1582091588116281,45.38829257433066,0,3,8.215886360740472,5.2158863607404715,0.25552054089418186,0.04599369736095273,0,45.643813115224845,5.933931386734114,-2.744458318901799
24,tech_driven,-601365198,24,0,0,0,4,4,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.10801764866566188,0.10789166550797757,0.8928571428571429,0.05693563617512907,0.40596686023473094,0.28955234033548805,1.6238674409389238,1.158209361341952,45.488292574330664,0,2.4,8.233808421172844,5.833808421172844,0.2550875432962461,0.0459157577933243,0,45.74338011762691,5.7453499826213505,-2.1249082286629544
25,tech_driven,-601365198,25,0,0,0,3,2,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.10721584468398282,0.10716556819414036,0.5357142857142857,0.0481111477693324,0.4089005200589559,0.2895523504620041,1.6356020802358235,1.158209401848017,45.87900072168136,0,1.2,8.292172459175523,7.092172459175523,0.1886240515159916,0.03395232927287849,0,46.06762477319735,5.563086769215868,-0.9292334734057135
26,tech_driven,-601365198,24,1,0,0,3,4,0,7.142857142857142,0.6785714285714286,9.5,0.35714285714285715,0.18421052631578938,0.9417293233082706,0.1091704127989872,0.10974610419538089,0.8214285714285714,0.04962691495378981,0.4092628499187909,0.2895523524873074,1.637051399675164,1.1582094099492297,45.84758442697997,0,2.4,8.310141977739429,5.910141977739428,0.31987100490575177,0.05757678088303531,0,46.16745543188572,5.386909785818845,-2.0699837590188763
27,tech_driven,-601365198,24,0,1,0,3,5,0,7.142857142857142,0.6785714285714286,9.5,0.35714285714285715,0.18421052631578938,0.9417293233082706,0.1188975362888951,0.12146276980817294,0.9642857142857143,0.05277861319305397,0.4056988968841512,0.21763967754537572,1.6227955875366054,0.8705587101815031,44.5748377746676,0.7636479913874353,3,8.293682738911373,4.530034747523938,1.5011774415067012,0.2702119394712062,0,46.0760152161743,5.216596853132114,-2.362261234850642
28,tech_driven,-601365198,24,0,1,0,3,5,0,7.142857142857142,0.6785714285714286,9.5,0.35714285714285715,0.18421052631578938,0.9417293233082706,0.12094879816418191,0.12146276980817294,0.9642857142857143,0.05277861319305397,0.40498610627722326,0.1962575337865622,1.6199444251088935,0.7850301351462489,44.57483777466759,0.7636479913874353,3,8.29298054894131,4.529332557553875,1.4972763861174627,0.26950974950114326,0,46.072114160785056,5.0519350827197185,-2.286329742263952
29,tech_driven,-601365198,25,0,1,0,2,5,0,7.142857142857142,0.6785714285714286,9.5,0.35714285714285715,0.18421052631578938,0.9417293233082706,0.12033737729001448,0.1201846620736089,0.8571428571428571,0.04730152072009802,0.405283124067151,0.19198110503479948,1.6211324962686045,0.767924420139198,44.63637840225147,0.7636479913874353,3,8.291314928856007,4.527666937468572,1.426482313615241,0.25676681645074334,0,46.062860715866705,4.892720415814122,-2.3288491796542274
30,tech_driven,-601365198,25,1,1,0,1,5,0,7.142857142857142,0.6785714285714286,9.5,0.39285714285714285,0.18421052631578938,0.9417293233082706,0.12129177464356111,0.12155440541615414,0.75,0.04140872540519137,0.4048987928746807,0.19112581928444694,1.6195951714987233,0.7645032771377879,44.574255537187646,0.7636479913874353,3,8.292290968244146,4.528642976856711,1.4940276197242688,0.2689249715503684,0,46.06828315691192,4.738757189419501,-2.28038164505233
